営業担当,リストグループ,主な病床機能,予算案策定時期,病院区分,法人名称等,病院名,病院名（カナ）,URL,創立日,創立日備考,診療科,病床数,病床の内訳,郵便番号,都道府県,住所1,電話番号,直通・内線など,FAX,E-mail,法人　郵便番号,法人　住所,法人　電話番号,出版DM用　肩書,出版DM用　宛名,WBDM用　肩書,WBDM用　宛名,役職,名前,フリガナ,出身（卒年）専門,秘書（所属　氏名）,秘書メールアドレス,役職２,名前２,フリガナ2,出身（卒年）専門２,メールアドレス２,役職3,名前3,フリガナ3,メールアドレス３,役職４,名前４,フリガナ４,メールアドレス４,事務長　役職名,事務長,フリガナ,メールアドレス,看護部長　役職名,看護部長,フリガナ,メールアドレス,出版実績,　売上実績,ESPS実績,　売上実績,トピックス,備考欄,
出塚 中島 片桐,,,,都道府県立,,香川県立中央病院,カガワケンリツチュウオウビョウイン,http://www.chp-kagawa.jp/,1945-10-01,,"",631,,760-8557,香川県,高松市朝日町一丁目2番1号,087-811-3333,その他の方は3,087-802-1188,ab6355@pref.kagawa.lg.jp,,,,院長,髙口　浩一,,,院長,太田吉夫→河内 正光→髙口　浩一,たかぐち,岡山大学（昭和61）消化器内科,,,秘書,田岡祐子→和田→大西,,,,,,,,,,,,事務局長,遠山 宏→定浪 裕紀260401,,,副院長(兼)看護部長,丹羽 美裕紀→片岡布美子,にわ,,,"",,"",全国病院事業管理者協議会会員 DPCⅡ群 災害拠点病院（基幹） TAVI,"",
出塚 中島 片桐,内部留保が多い（2016年度）,,,都道府県立,,大分県立病院,,http://hospital.pref.oita.jp/,1880-03-01,,"",630,,870-8511,大分県, 大分市豊饒二丁目8番1号,097-546-7111,,,incho_hisyo@oitakenbyo.jp,,,,院長,宇都宮 徹,,,院長,田代→井上敏郎→佐藤 昌司→宇都宮 徹,,,,,院長秘書,堀→植木,,,,,大分県病院局長,佐藤 昌司,,総務経営課長,渋谷 健司,シブヤ,,,,,,,小畑 絹代⇒副院長兼看護部長　後藤 紀代美,,,,"",,"",地域医療支援病院 地域がん診療連携拠点病院 災害拠点病院（基幹）,"",
出塚 中島,,,,都道府県立,高知県・高知市病院企業団立,高知医療センター,コウチイリョウセンター,https://www2.khsc.or.jp/,2005-03-01,,"",620,一般病床	548 床／精神病床	44 床／結核病床	20 床／感染症病床	8 床,781-8555,高知県,高知市池２１２５－１,088-837-3000,,,yoshie_yokoya@khsc.or.jp,,,,病院長,林　和俊,,,病院長,吉川清志→島田安博→小野憲昭→　林　和俊,,高知大学（1989年）産婦人科,,,秘書,池田→横矢→田村→藤川,,,,,,,,,,,,事務局長,濵田　仁,,,看護局長,田鍋 雅子,,,,"",,"",全国病院事業管理者協議会会員 DPCⅡ群 災害拠点病院（基幹） TAVI,"",
出塚 中島 片桐,,,,都道府県立,,静岡県立静岡がんセンター,,http://www.scchr.jp/,2002-09-06,,"",615,,411-8777,静岡県,駿東郡長泉町下長窪１００７,055-989-5222,,,m.kiuchi@scchr.jp,,,,病院長,上坂 克彦,,,総長,高橋満→上坂 克彦,うえさか,名古屋大学1982年肝、胆、膵臓外科,,,秘書,木内,,,,総長,山口　建,ヤマグチ　ケン　慶應（昭和49）がんゲノム医療,,,,,,事務局長,堀川　俊,,,看護部長,遠藤 久美→水主いづみ,　　　　　すいしゅ,,,"",,"",都道府県がん診療連携拠点病院 DPCⅡ群,"2014年DPCⅡ群昇格
",
出塚 中島 片桐,,,,都道府県立,,東京都立小児総合医療センター,ショウニソウゴウイリョウセンター,http://www.tmhp.jp/shouni/,2010-03-01,開設,"",561,,183-8561,東京都,府中市武蔵台2-8-29,042-300-5111,,042-312-8162,masaru_miura@tmhp.jp,,,,院長,山岸　敬幸,,,院長,本田→廣部誠一→　山岸　敬幸,ヤマギシ　ヒロユキ,慶應義塾大学（昭和58）　外科、小児科,,,,,,,,,,,,,,,,,不明,,,看護部長,佐野 美香⇒亀田　律子,,,,"",,"",,"2018年４月　廣部先生院長就任",
出塚 片桐 大山,内部留保が多い（2016年度）,,,都道府県立,,沖縄県立中部病院,オキナワケンリツチュウブビョウイン,https://chubuweb.hosp.pref.okinawa.jp/,1946-04-21,,"",559,一般 555床　感染 4床,904-2293,沖縄県,うるま市宮里281,098-973-4111,音声案内　４,098-973-2703,chubu_hisho@hosp.pref.okinawa.jp,,,,院長,天願　俊穂,,,院長,松本廣嗣→上原元 →本竹秀光→玉城和光→天願　俊穂,てんがん　としほ,琉球大学（1990年）心臓血管外科,,,秘書,橋本→平良,,,,,,,,,,,,事務部長,新里　恵子→北川征一郎,しんざと,,看護部長,神里敬子（かみざと）⇒金森智江,,,2017,"",,"",災害拠点病院（基幹）,"群星沖縄（ﾑﾘﾌﾞｼｵｷﾅﾜ）臨床研修病院群プロジェクト
沖縄県立中部病院、沖縄協同病院、ハートライフ病院、豊見城中央病院、中頭病院、浦添総合病院、大浜第一病院、中部徳洲会病院",
出塚 中島 片桐,,,,都道府県立,,島根県立中央病院,,http://www.spch.izumo.shimane.jp/,1940-01-01,,"",554,,693-8555,島根県,出雲市姫原4-1-1,0853-22-5111,,085-321-2975,incho-hisho@pref.shimane.lg.jp,,,,病院長病院事業管理者,中川　正久,,,病院長,菊池　清→小阪　真二,,,,,病院長秘書,園山→永見→永田→加納,,,,病院事業管理者,中川　正久,,,看護部長（局長の下である看護部の部長という位置づけ）無料診断の窓口,山本真理子,,saruko@spch.izumo.shimane.jp,事務局長,勝部　恵治,かつべ,,看護局長,伊藤 千加子→田根　圭子,t-keiko@spch.izumo.shimane.jp,,2017,"",,"",地域がん診療連携拠点病院,"",
出塚 中島 片桐,,,兵庫県立西宮病院と同県西宮市立中央病院を統合再編して令和8年7月1日開院,都道府県立,,兵庫県立西宮総合医療センター（旧：兵庫県立西宮病院）,ヒョウゴケンリツニシノミヤソウゴウイリョウセンター,https://nishinomiya-gmc.hyogo.jp/,1921-12-01,上記は西宮市立中央病院前身。県立西宮病院の発足は1936/01/01,"",552,一般400→552,663-8241,兵庫県,?宮市津??塚町11番62号,0798-31-7700,,,,,,,院長,野口　眞三郎,,,院長,河田?　野口　眞三郎,ノグチ　シンサブロウ,大阪大学（昭和55）乳がん,,,,,,,,,,,,,,,,,,,,看護部長,福島　芳江→宮原 明美,,,,"",,"",,"兵庫県指定がん診療連携拠点病院
2019年4月　野口先生院長就任
2026年　西宮市立中央病院と統合再編予定",
出塚,,,,都道府県立,,滋賀県立総合病院　（旧　滋賀県立成人病センター）,しがけんりつそうごうびょういん,https://www.pref.shiga.lg.jp/kensou/,1970-12-01,,"",541,,524-8524,滋賀県,守山市守山５丁目４番３０号,077-582-5031,,077-582-5426,so.fujii@mdc.med.shiga-pref.jp,,,,総長兼病院長,足立 壯一,,,総長兼病院長,宮地良樹→一山　智→　足立 壯一,,京都大学,,,秘書,平井→藤井薗美→田口・下村,,,,,,,,,,,,事務局長,村田 昌史→　不明,,,副院長 兼 看護部長,西村 路子,,,2021,"",,"",都道府県がん診療連携拠点病院 TOP交代 がん５年生存率BEST2021,"病院長　2015年10月就任",
出塚 中島,内部留保が多い（2016年度）,,,都道府県立,,新潟県立中央病院,,http://www.cent-hosp.pref.niigata.jp/,1875-04-01,,"",534,,943-0147,新潟県,上越市新南町205,025-522-7711,,025-521-3720,shomu02@cent-hosp.pref.niigata.jp,,,,院長,田部　浩行,,,院長,矢澤正知 → 長谷川正樹→田部　浩行,タベ　ヒロユキ,,,,庶務課,武田→田村,,,,,,,,,,,,事務長,綱島　正司,,,看護部長,佐藤　裕子⇒田中　浩之,,,,"",,"",,"",
出塚 中島 片桐,,,,都道府県立,,茨城県立こころの医療センター,,https://www.mc-kokoro.pref.ibaraki.jp/,1950-05-01,,"",525,,309-1717,茨城県,笠間市旭町654,0296-77-1151,,,mc-kokoro@pref.ibaraki.lg.jp,,,,病院長,太刀川　弘和,,,病院長,土井永史→堀孝文→　太刀川　弘和,タチカワ ヒロカズ,筑波大学,,,,,,,,,,,,,,,,,,,,看護局長,野尻　陽子,,,,"",,"",,"",
出塚 片桐,,,,都道府県立,,鳥取県立中央病院,トットリケンリツチュウオウビョウイン,http://www.pref.tottori.lg.jp/chuoubyouin/,1949-02-01,,"",518,,680-0901,鳥取県,鳥取市江津730,0857-26-2271,,0857-29-3227,cb_medicalassistant8@pref.tottori.jp,,,,院長,千酌 浩樹,,,院長,日野　理彦 → 池口正英→廣岡　保明→千酌 浩樹,チクミ　ヒロキ,鳥取大学（）感染症内科,,,秘書,中河→河口典子（結婚した）,,,,,,,,総務課　人事企画担当,,,,,,,,,西山あゆみ,,,,"",,"",病院病棟新築・移転 DPCⅡ群 災害拠点病院（基幹）,"DPC第二群
平成30年度　新病院完成
",
出塚 中島 片桐,,,,都道府県立,,宮崎県立宮崎病院,,http://kenritsu-miyazakibyouin.jp/,1921-10-01,,"",502,一般459床、精神35床、感染8床,880-8510,宮崎県,宮崎市北高松町5-30,0985-24-4181,,098-528-1881,fukuda-yuka@pref.miyazaki.lg.jp,,,,院長,眞柴 晃一,,,院長,豊田→菊池郁夫→嶋本富博→　眞柴 晃一,マシバ　コウイチ,藤田保健衛生大学（1988年）内科全般・感染症・膠原病,,,総務,福田由香,,,,,,,,,,,,,徳地 清孝,とくじ,,看護部長,日髙 明美→井上　洋子,,,,"",,"",地域がん診療連携拠点病院 災害拠点病院（基幹） がん５年生存率BEST2021,"",
出塚 中島,2018年DPC特定病院群,,2025.3.25産経：茨城県は、水戸市や笠間市など6市町をカバーする「水戸保健医療圏」の再編に向け、県立中央病院（笠間市）と県立こども病院（水戸市）を統合し、新たな県立病院を建設すると発表した→2026/03/28　日本工業経済新聞（茨城版）   　県病院局は、県立中央病院とこども病院を統合した新病院建設へ新年度は基本計画を策定するほか、建設用地の測量調査および取得等を進める。２０２７年度以降に基本・実施設計、造成整備工事等を進め、34年度ごろまでの開業を目指す。,都道府県立,,茨城県立中央病院・茨城県地域がんセンター,イバラギケンリツチュウオウビョウイン,http://www.hospital.pref.ibaraki.jp/chuo/,1956-01-01,,"",500,,309-1793,茨城県,笠間市鯉淵６５２８,0296-77-1121,,0296-77-2886,a-shimada@chubyoin.pref.ibaraki.jp,,,,病院長,島居　徹,,,病院長,永井秀雄→吉川裕之→島居　徹,しまずい,筑波大学（）泌尿器,,,事務局長,田村昭悟→増田 淳之(2026.4.1),,,,秘書,嶋田→大原,,,,,,,事務局次長,渡辺 敦史⇒いとう→木下 広志(2026.4.1),,,看護局長,秋山　順子,,,,"",,"",地域がん診療連携拠点病院,"平成27年4月から産科スタート、小児科強化
",
出塚 大山,,,,都道府県立,,愛知県がんセンター,アイチケンガンセンターチュウオウビョイン,http://www.pref.aichi.jp/cancer-center/hosp/,,,"",500,特別病床80、一般病床393、特殊病床27,464-8681,愛知県,名古屋市千種区鹿子殿１－１,052-762-6111,その他の方は3,,,,,,総長,丹羽康正,,,総長,木下平→高橋隆→丹羽　康正,ニワ　ヤスマサ,名古屋大学（昭和58年）昭和58年,,,院長,篠田雅幸→丹羽康正→山本 一仁,,,,秘書,佐野→園（その）,,,,,,,運用部長,横井　満,,,副院長兼看護部長,林美子⇒山崎　祥子,,,,"",,"",地域がん診療連携拠点病院 TOP交代 がん５年生存率BEST2021,"平成26年　50周年　
H27年4月　院長交代　篠田雅幸→丹羽",
出塚 片桐 田村,,,,都道府県立,,岩手県立大船渡病院,オオフナトビョウイン,http://oofunato-hp.com/,1935-08-01,,"",489,一般370、精神105、結核10、感染4　,022-8512,岩手県,大船渡市大船渡町字山馬越１０－１,0192-26-1111,,019-227-9285,,,,,院長,星田　徹,,,院長,伊藤→渕向→中野→　星田　徹,ホシダ,東北大学(1991年)脳神経外科,,,,,,,,,,,,,,,,事務局長,,,,総看護師長,箱石 恵子⇒斉藤 るり子⇒菅原 小百合⇒須田 佳与,,,,"",,"",地域がん診療連携拠点病院,"2018年8月　渕向先生院長就任か？",
出塚 中島 片桐,,精神病院,,都道府県立,,兵庫県立ひょうごこころの医療センター,,https://hmhc.jp/,1937-04-01,,"",478,,651-1242,兵庫県,神戸市北区山田町上谷上字登り尾3,078-581-1013,,,,,,,,,,,院長,加藤寛→土井→田中→　青山　慎介,アオヤマ,神戸大学（2003年）精神科神経科,,,,,,,,,,,,,,,,管理局長,門田 高弘→石川 雅重260401,もんた,,,奥　由香→　不明→安藤　彰美,,,,"",,"",,"",
出塚 中島 片桐,,,,都道府県立,,新潟県立新発田病院,,http://www.sbthp.jp/index.html,1885-01-01,陸軍衛戍病院として創立　2006/11現在地に移転,"",478,,957-8588,新潟県,新発田市本町1-2-8,0254-22-3121,,025-422-4783,,,,,院長,田中 典生,,,院長,塚田 芳久→ 田中 典生,,新潟大学（昭和60）消化器・一般外科,,,院長秘書,貝瀬,,,,,,,,,,,,事務長,渡邉 守朗→北村 友紀(2026.4.1),,,看護部長,五十嵐　聡子→小野　義夫(2026.4.1),,,,"",,"",DPCⅡ群,"",
出塚 中島 片桐,,,,都道府県立,,徳島県立中央病院,トクシマケンリツチュウオウビョウイン,https://tph.pref.tokushima.lg.jp/,1953-07-01,,"",460,,770-8539,徳島県,徳島市蔵本町1-10-3,088-631-7151,,088-631-8354,,770-8570,徳島県徳島市万代町1丁目1番地　徳島県病院局,088-621-2215,病院長,葉久 貴司,,,病院事業管理者,北畑 洋,キタハタ,徳島大学（1956年）麻酔科,,,病院長,西村匡司→葉久 貴司,,,,,,,,事務局次長,西田 晃,,,事務局長,藤井 博→廣瀨 和久,,,副院長兼看護局長,宮本 美恵→岩本尚美060401,,,,"",,"",DPCⅡ群 災害拠点病院（基幹）,"2014年DPCⅡ群昇格",
出塚 中島 片桐,,,,都道府県立,,山形県立新庄病院,ヤマガタケンリツシンジョウビョウイン,http://www.ysh.pref.yamagata.jp/,1945-04-23,前身の新庄町立病院開設,"",454,,996-0025,山形県,新庄市若葉町12番55号,0233-22-5525,,023-323-2987,,,,,院長,八戸　茂美,,,院長,八戸　茂美,ハチノヘ　シゲミ,弘前大学　消化器内科,,,,,,,,,,,,,,,,副院長兼事務局長,細梅　日出樹,,,看護部長,峯田　弥生→関越実千世,　　　　　せきごしみちよ,,,"",,"",地域がん診療連携拠点病院,"",
出塚 片桐,,急性期,,都道府県立,,兵庫県立淡路医療センター,アワジイリョウセンター,https://www.awajimc.jp/,1956-04-20,,"",441,一般377、精神45、結核⑮、感染４）,656-0021,兵庫県,洲本市塩屋1丁目1-137,0799-22-1200,,0799-24-5704,info@awaji-hosp.sumoto.hyogo.jp,,,,院長,鈴木 康之,,,院長, 小山　隆司→　鈴木 康之,,神戸大学（昭和58年）消化器外科、香川大学名誉教授,,,,,,,,,,,,,,,,,,,,看護部長,藤原功己→居神 真実,　　　　　イカミ　マミ,,,"",,"",地域がん診療連携拠点病院,"",
出塚 片桐 大山,,,,都道府県立,,沖縄県立南部医療センター・こども医療センター,オキナワケンリツナンブイリョウセンター・コドモイリョウセンター,http://www.hosp.pref.okinawa.jp/nanbu/,2006-04-01,,"",434,,901-1193,沖縄県,島尻郡南風原町字新川１１８番地の１,098-888-0123,音声案内　このまま,098-888-6400,nanbu_chiken@hosp.pref.okinawa.jp,,,,院長,重盛 康司,,,院長,佐久→小濱→和氣→福里吉充→　重盛 康司,シゲモリ ヤスジ,信州大学（）放射線科,,,,,,,,秘書,高安,,,,,,,事務部長,稲嶺 秀樹,いなみね,,看護部長,古堅 敦子→津波古 正江,　　　　　　つはこ,,,"",,"",TOP交代,"2014年にⅡ群昇格　2016年に降格
2019年4月　小濱先生院長就任
",
出塚 片桐 田村,,急性期,,都道府県立,,岩手県立中部病院,イワテケンリツチュウブビョウイン,http://www.chubu-hp.com/index.php,2009-04-01,県立花巻厚生病院と県立北上病院が統合,"",434,,024-8507,岩手県,北上市村崎野１７地割１０番地,0197-71-1511,,019-771-1414,ea1013@pref.iwate.jp,,,,院長,川村英伸,,,院長,遠藤→伊藤達朗→吉田徹→　川村　英伸,カワムラ　ヒデノブ,岩手医大（平成元）消化器外科（肝胆膵）,,,,,,,,,,,,,,,,事務局長,,,,総看護師長,菊池共子⇒斉藤 るり子⇒笠寺　容子,,,,"",,"",地域がん診療連携拠点病院 がん５年生存率WORST2021,"2018年4月　伊藤先生院長就任",
出塚 片桐,,精神病院,,都道府県立,,石川県立こころの病院,,http://www.pref.ishikawa.jp/takabyo/,1966-05-17,,"",400,精神科病床,929-1214,石川県,かほく市内高松ヤ36,076-281-1125,,076-282-5356,,,,,,,,,病院長 ,北村 立,キタムラ　タツル,自治医科大学（昭和62）精神科、老年精神医学,,,,,,,,,,,,,,,,総務課長,,,,看護部長,坂上 章,,,,"",,"",,"",
出塚 中島 片桐,,,,都道府県立,,新潟県立精神医療センター,,http://www.psyche-niigata.jp/index.html,1955-11-01,,"",400,,940-0015,新潟県,長岡市寿2-4-1,0258-24-3930,,025-824-3891,,,,,,,,,院長　　,細木　俊宏,,,,,,,,,,,,,,,,,,事務長,,,,看護部長,小林 和栄→佐藤　妙子→田中　寛美260401,,,,"",,"",,"",
出塚 中島 片桐,内部留保が多い（2016年度）,,,都道府県立,,宮崎県立延岡病院,,http://nobeoka-kenbyo.jp/,1948-09-01,,"",399,一般病床　395床、感染症病床　4床,882-0835,宮崎県,延岡市新小路2-1-10,0982-32-6181,,098-232-6759,yyana1214k@pref-hp.nobeoka.miyazaki.jp,,,,院長,山口　哲朗,,,院長,栁邊安秀→寺尾公成→　山口　哲朗,ヤマグチ　テツロウ,,,,庶務担当→医療秘書,真田様→石川→小野→野口,,,,,,,,,,,,事務局長,牛ノ濱 和秀,うしのはま,,看護部長,藻原 せつ（もはら）⇒小泉さなえ,,,,"",,"",地域医療支援病院,"",
出塚 中島 片桐,内部留保が多い（2016年度）,,,都道府県立,,新潟県立がんセンター新潟病院,,http://www.niigata-cc.jp/,1950-05-01,,"",367,,951-8566,新潟県,新潟市中央区川岸町2-15-3,025-266-5111,,025-266-9385,ikyoku@niigata-cc.jp,,,,院長,田中　洋史,,,院長,佐藤 信昭→田中 洋史,,,,,,,,,,,,,,,,,,事務長,滝澤　茂夫,,,看護部長,長谷川 美津枝→田村　恵美子,,,,"",,"",都道府県がん診療連携拠点病院 がん５年生存率BEST2021,"",
出塚 中島 片桐,内部留保が多い（2016年度）,,,都道府県立,,兵庫県立がんセンター,ヒョウゴケンリツガンセンター,http://www.hyogo-cc.jp/,1962-09-01,,"",360,,673-0021,兵庫県,明石市北王子町13-70,078-929-1151,,078-929-2380,,,,,院長,富永　正寛,,,院長,足立　→　吉村　雅裕→　	富永　正寛,,,,,,,,,,,,,,,,,,,,,,看護部長,松本 奈美→小山 美幸→奥 由香260401,　　　　　こやま,,,"",,"",がんゲノム医療中核拠点・連携病院 地域がん診療連携拠点病院 都道府県がん診療連携拠点病院,"院長交代",
出塚 中島 片桐,,,,都道府県立,高知県立,幡多けんみん病院,ハタケンミンビョウイン,http://www.pref.kochi.lg.jp/hata/byoin/,1948-05-01,発足、1999/4/24県民病院として診療開始,"",355,,788-0785,高知県,宿毛市山奈町芳奈3番地１,0880-66-2222,,,,,,,,,,,病院長,橘→矢部　敏和→福井 直樹,ヤベ　トシカズ,愛媛大学　循環器内科,,,,,,,,,,,,,,,,経営事業部長,橋本 立→角田憲紀,直通：0880-66-2244,ritsu_hashimoto@ken2.pref.kochi.lg.jp→noritoshi_tsunoda@ken3.pref.kochi.lg.jp,,横山理恵→伊吹 奈津恵,,kkenminbingyuan@gmail.com→natsue_ibuki@ken3.pref.kochi.lg.jp,,"",,"",地域がん診療連携拠点病院 がん５年生存率WORST2021,"2019年４月　矢部先生院長就任",
出塚 中島 片桐,内部留保が多い（2016年度）,,,都道府県立,,鹿児島県立大島病院,カゴシマケンリツオオシマビョウイン,http://hospital.pref.kagoshima.jp/oshima/,1901-03-01,,"",350,,894-0015,鹿児島県,奄美市名瀬真名津町18-1,0997-52-3611,,,,,,,,,,,院長,眞田　→　石神　純也,イシガミ　スミヤ,鹿児島大学　消化器外科,,,,,,,,,,,,総務課総務係長,畠中成久,,,,,,,　　　　　　　　　　　　　　　　　　　　　　看護部長,今城 峰⇒太倉　章子⇒坂元 なるみ(総看護師長)→鶴田　恵,,,,"",,"",地域医療支援病院 地域がん診療連携拠点病院,"２０１８年４月　石神先生院長就任",
